id,hotel_id,hotel_name,city,image_order,image_type,image_description,image_url,google_search_link
1,1,"Dalat Palace Heritage Hotel","Đà Lạt",1,exterior,"Mặt tiền kiến trúc Pháp cổ bên hồ Xuân Hương",,https://www.google.com/search?q=Dalat+Palace+Heritage+Hotel+exterior+facade&tbm=isch
2,1,"Dalat Palace Heritage Hotel","Đà Lạt",2,room,"Phòng Palace Deluxe nội thất cổ điển sang trọng",,https://www.google.com/search?q=Dalat+Palace+Heritage+Hotel+deluxe+room&tbm=isch
3,1,"Dalat Palace Heritage Hotel","Đà Lạt",3,pool,"Khu vực sảnh chính và vườn hoa",,https://www.google.com/search?q=Dalat+Palace+Heritage+Hotel+lobby+garden&tbm=isch
4,1,"Dalat Palace Heritage Hotel","Đà Lạt",4,view,"View hồ Xuân Hương từ khách sạn",,https://www.google.com/search?q=Dalat+Palace+Heritage+Hotel+Xuan+Huong+Lake+view&tbm=isch
5,1,"Dalat Palace Heritage Hotel","Đà Lạt",5,amenity,"Nhà hàng Le Rabelais phong cách Pháp",,https://www.google.com/search?q=Dalat+Palace+Heritage+Hotel+Le+Rabelais+restaurant&tbm=isch
6,2,"Ana Mandara Villas Dalat","Đà Lạt",1,exterior,"Biệt thự Pháp cổ giữa đồi thông",,https://www.google.com/search?q=Ana+Mandara+Villas+Dalat+exterior+villa&tbm=isch
7,2,"Ana Mandara Villas Dalat","Đà Lạt",2,room,"Phòng ngủ vintage trong biệt thự cổ",,https://www.google.com/search?q=Ana+Mandara+Villas+Dalat+bedroom+vintage&tbm=isch
8,2,"Ana Mandara Villas Dalat","Đà Lạt",3,pool,"Hồ bơi ngoài trời giữa vườn",,https://www.google.com/search?q=Ana+Mandara+Villas+Dalat+swimming+pool&tbm=isch
9,2,"Ana Mandara Villas Dalat","Đà Lạt",4,view,"Vườn hoa và đồi thông xung quanh",,https://www.google.com/search?q=Ana+Mandara+Villas+Dalat+garden+pine+hill&tbm=isch
10,2,"Ana Mandara Villas Dalat","Đà Lạt",5,amenity,"Spa và khu thư giãn",,https://www.google.com/search?q=Ana+Mandara+Villas+Dalat+spa&tbm=isch
11,3,"Dalat Edensee Lake Resort","Đà Lạt",1,exterior,"Toàn cảnh resort bên hồ Tuyền Lâm",,https://www.google.com/search?q=Dalat+Edensee+Lake+Resort+aerial+Tuyen+Lam&tbm=isch
12,3,"Dalat Edensee Lake Resort","Đà Lạt",2,room,"Phòng Lake View Deluxe nhìn ra hồ",,https://www.google.com/search?q=Dalat+Edensee+Lake+Resort+lake+view+room&tbm=isch
