id,category,accommodation_type,name_vi,name_en,description,star_rating,status,address,city,country,distance_description,check_in_out,room_name_vi,space_type,price_vnd_per_night,price_usd_per_night,cleaning_fee_vnd,service_fee_percent,max_guests,bedrooms,beds,bathrooms,rating,reviews_count,amenities_list,is_guest_favorite,is_featured,host_name,host_phone,host_rating,host_reviews_count,is_superhost,thumbnail_url,gallery_urls
1,views,resort,"Dalat Palace Heritage Hotel","Dalat Palace Heritage Hotel","Khách sạn biểu tượng với kiến trúc Pháp cổ kính từ năm 1922, nằm bên hồ Xuân Hương thơ mộng. Không gian hoàng gia với nội thất cổ điển sang trọng.",5,published,"02 Trần Phú, Phường 3","Đà Lạt","Việt Nam","Ngay trung tâm, bên hồ Xuân Hương","14:00 – 12:00","Phòng Palace Deluxe",entire_place,4500000,182,500000,12,2,1,1,1,4.92,320,"Wifi, Spa, Sân tennis, Nhà hàng Pháp, Quầy bar, Dịch vụ phòng 24/7, Bể sục, Phòng gym",TRUE,TRUE,"Dalat Palace Group","02633 825 444",4.95,520,TRUE,,
2,views,resort,"Ana Mandara Villas Dalat Resort & Spa","Ana Mandara Villas Dalat","Hệ thống 17 biệt thự Pháp cổ xây dựng từ những năm 1920, ẩn mình giữa đồi thông. Không gian riêng tư, hoài cổ với dịch vụ nghỉ dưỡng đẳng cấp.",5,published,"Lê Lai, Phường 5","Đà Lạt","Việt Nam","Cách trung tâm 1.5 km","14:00 – 12:00","Biệt thự Deluxe 1 phòng ngủ",entire_place,3800000,153,500000,12,4,1,2,2,4.90,280,"Wifi, Hồ bơi ngoài trời, Spa, Nhà hàng, Đưa đón, Vườn hoa, Lò sưởi, Bếp mini",TRUE,TRUE,"Ana Mandara Hospitality","02633 355 8888",4.93,410,TRUE,,
3,views,resort,"Dalat Edensee Lake Resort & Spa","Dalat Edensee Lake Resort","Khu nghỉ dưỡng biệt lập bên hồ Tuyền Lâm, bao quanh bởi rừng thông nguyên sinh. Không gian yên bình với cinema riêng và sân tập golf.",5,published,"Khu du lịch hồ Tuyền Lâm","Đà Lạt","Việt Nam","Cách trung tâm 7 km, bên hồ Tuyền Lâm","14:00 – 12:00","Phòng Lake View Deluxe",entire_place,3200000,129,500000,12,2,1,1,1,4.88,195,"Wifi, Cinema, Phòng giải trí, Sân golf mini, Xe đạp miễn phí, Spa, Nhà hàng ven hồ, Câu cá",TRUE,FALSE,"Edensee Hospitality","02633 831 831",4.90,340,TRUE,,
4,views,hotel,"MerPerle Dalat Hotel","MerPerle Dalat Hotel","Khách sạn 5 sao quy mô lớn với hơn 300 phòng, kiến trúc bán cổ điển. Nổi bật với Sky Bar 360 độ và hồ bơi nước ấm trong nhà.",5,published,"02 Lê Đại Hành, Phường 3","Đà Lạt","Việt Nam","Ngay trung tâm thành phố","14:00 – 12:00","Phòng Grand Deluxe",entire_place,2800000,113,400000,12,2,1,1,1,4.85,240,"Wifi, Hồ bơi nước ấm trong nhà, Sky Bar 360°, Sân golf 3D, Spa Hàn Quốc, Phòng gym, Nhà hàng buffet",FALSE,TRUE,"MerPerle Hotels & Resorts","02633 222 555",4.87,380,TRUE,,
5,views,hotel,"Hôtel Colline Đà Lạt","Hotel Colline Da Lat","Khách sạn boutique 4 sao thiết kế hiện đại trẻ trung ngay trung tâm. Dịch vụ chuyên nghiệp, view đẹp nhìn ra thành phố sương mù.",4,published,"10 Phan Bội Châu, Phường 1","Đà Lạt","Việt Nam","Ngay trung tâm, cách chợ Đà Lạt 500m","14:00 – 12:00","Phòng Superior City View",entire_place,1500000,61,300000,12,2,1,1,1,4.82,185,"Wifi, Nhà hàng, Quầy bar, Dịch vụ phòng, Đỗ xe miễn phí, View thành phố",FALSE,FALSE,"Colline Hotels","02633 555 666",4.85,290,TRUE,,
6,beachfront,resort,"JW Marriott Phu Quoc Emerald Bay","JW Marriott Phu Quoc","Kiệt tác kiến trúc của Bill Bensley theo phong cách đại học giả tưởng Lamarck. Biệt thự có hồ bơi riêng, nhà hàng đa quốc gia đẳng cấp.",5,published,"Bãi Khem, An Thới","Phú Quốc","Việt Nam","Bãi Khem - Nam đảo","14:00 – 12:00","Emerald Bay Villa 1BR",entire_place,9500000,383,800000,12,4,1,2,2,4.97,410,"Wifi, Hồ bơi riêng, Bãi biển riêng, Spa, 4 nhà hàng, Quản gia 24/7, Phòng gym, Kids Club, Yoga",TRUE,TRUE,"Marriott International","0297 377 9999",4.98,650,TRUE,,
7,beachfront,resort,"Regent Phu Quoc","Regent Phu Quoc","Resort siêu sang (ultra luxury) với kiến trúc tối giản hòa quyện thiên nhiên. Biệt thự có hồ bơi riêng, dịch vụ quản gia 24/7.",5,published,"Bãi Trường, Dương Tơ","Phú Quốc","Việt Nam","Bãi Trường - Tây đảo","14:00 – 12:00","Regent Suite Ocean View",entire_place,12000000,484,1000000,12,2,1,1,1,4.98,185,"Wifi, Bãi biển riêng, Hồ bơi vô cực, Spa cao cấp, Nhà hàng fine-dining, Quản gia, Yoga, Thể thao nước",TRUE,TRUE,"IHG Hotels & Resorts","0297 366 8888",4.99,380,TRUE,,
8,beachfront,resort,"Premier Village Phu Quoc","Premier Village Phu Quoc","Vị trí độc đáo hai mặt giáp biển tại Mũi Ông Đội. Biệt thự trên đồi, ghềnh đá và sát biển cực kỳ riêng tư.",5,published,"Mũi Ông Đội, An Thới","Phú Quốc","Việt Nam","Mũi Ông Đội - cực Nam đảo","14:00 – 12:00","Biệt thự 2PN view biển",entire_place,10000000,403,800000,12,6,2,3,2,4.95,290,"Wifi, Hồ bơi riêng, Bãi biển riêng, Bếp đầy đủ, Phòng giặt, BBQ, Xe đưa đón, Kids Club",TRUE,TRUE,"Sun Group Hospitality","0297 626 6999",4.96,480,TRUE,,
9,beachfront,resort,"New World Phu Quoc Resort","New World Phu Quoc Resort","Các villa phong cách mái lá truyền thống trong không gian xanh mướt. Bãi biển Bãi Khem tuyệt đẹp, phù hợp cho gia đình.",5,published,"Bãi Khem, An Thới","Phú Quốc","Việt Nam","Bãi Khem - Nam đảo","14:00 – 12:00","Garden Villa 1BR",entire_place,6500000,262,600000,12,4,1,2,2,4.90,220,"Wifi, Hồ bơi, Bãi biển, Spa, Nhà hàng, Kids Club, Phòng gym, Thể thao nước, Xe đạp",FALSE,TRUE,"New World Hotels","0297 368 8888",4.92,360,TRUE,,
10,beachfront,resort,"Radisson Blu Resort Phu Quoc","Radisson Blu Resort Phu Quoc","Resort hiện đại tại Bãi Dài với thiết kế đương đại. Gần VinWonders và Safari, phù hợp mọi đối tượng du khách.",5,published,"Bãi Dài, Gành Dầu","Phú Quốc","Việt Nam","Bãi Dài - Bắc đảo","14:00 – 12:00","Phòng Deluxe Ocean View",entire_place,2500000,101,400000,12,2,1,1,1,4.85,175,"Wifi, Hồ bơi, Bãi biển, Spa, Nhà hàng, Bar, Phòng gym, Gần VinWonders",FALSE,FALSE,"Radisson Hotel Group","0297 362 9999",4.87,280,TRUE,,
